iter	Passed	Remaining
0	0	33
1	0	30
2	0	31
3	1	29
4	1	31
5	1	30
6	2	29
7	2	28
8	2	27
9	2	26
10	3	26
11	3	26
12	3	25
13	4	24
14	4	24
15	4	23
16	4	23
17	5	22
18	5	22
19	5	22
20	5	22
21	6	21
22	6	21
23	6	21
24	6	20
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	8	19
31	8	18
32	9	18
33	9	18
34	9	17
35	9	17
36	10	18
37	11	17
38	11	17
39	11	17
40	11	16
41	12	16
42	12	16
43	12	15
44	12	15
45	13	15
46	13	15
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	14	13
53	15	12
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	16	11
60	17	10
61	17	10
62	17	10
63	17	10
64	18	9
65	18	9
66	18	9
67	18	8
68	19	8
69	19	8
70	19	8
71	19	7
72	20	7
73	20	7
74	20	6
75	20	6
76	21	6
77	21	6
78	21	5
79	21	5
80	22	5
81	22	4
82	22	4
83	23	4
84	23	4
85	23	3
86	23	3
87	24	3
88	24	3
89	24	2
90	24	2
91	25	2
92	25	1
93	25	1
94	25	1
95	26	1
96	26	0
97	26	0
98	26	0
99	27	0
